Data;Value
05/01/2017;1
11/01/2017;1
19/01/2017;4
07/02/2017;1
13/02/2017;1
17/02/2017;1
20/02/2017;2
23/02/2017;5
24/02/2017;2
01/03/2017;2
06/03/2017;7
21/03/2017;11
24/03/2017;1
27/03/2017;2
07/04/2017;2
12/04/2017;3
20/04/2017;1
26/04/2017;5
04/05/2017;1
16/05/2017;5
23/05/2017;1
01/06/2017;5
07/06/2017;2
16/06/2017;2
19/06/2017;1
27/06/2017;1
05/07/2017;7
11/07/2017;4
17/07/2017;1
18/07/2017;5
19/07/2017;2
25/07/2017;2
26/07/2017;9
27/07/2017;4
28/07/2017;6
03/08/2017;2
07/08/2017;1
08/08/2017;6
09/08/2017;4
11/08/2017;3
14/08/2017;1
15/08/2017;1
16/08/2017;7
18/08/2017;11
21/08/2017;3
23/08/2017;1
28/08/2017;8
30/08/2017;10
31/08/2017;1
01/09/2017;1
04/09/2017;8
05/09/2017;5
06/09/2017;3
12/09/2017;3
14/09/2017;2
21/09/2017;2
25/09/2017;2
26/09/2017;8
27/09/2017;5
29/09/2017;17
02/10/2017;8
05/10/2017;2
06/10/2017;1
09/10/2017;2
13/10/2017;3
19/10/2017;2
20/10/2017;3
24/10/2017;1
25/10/2017;1
26/10/2017;4
27/10/2017;2
09/11/2017;3
14/11/2017;16
17/11/2017;7
24/11/2017;3
27/11/2017;10
28/11/2017;1
01/12/2017;3
05/12/2017;6
07/12/2017;2
08/12/2017;6
11/12/2017;1
12/12/2017;1
13/12/2017;1
14/12/2017;12
18/12/2017;3
19/12/2017;4
20/12/2017;15
27/12/2017;15
28/12/2017;5
29/12/2017;5
04/01/2018;10
08/01/2018;2
09/01/2018;16
10/01/2018;4
11/01/2018;5
12/01/2018;1
15/01/2018;9
16/01/2018;10
17/01/2018;3
18/01/2018;7
19/01/2018;13
23/01/2018;5
26/01/2018;9
29/01/2018;4
30/01/2018;6
31/01/2018;1
02/02/2018;6
05/02/2018;15
06/02/2018;9
07/02/2018;31
08/02/2018;10
09/02/2018;5
14/02/2018;9
15/02/2018;12
16/02/2018;9
19/02/2018;5
20/02/2018;5
21/02/2018;4
22/02/2018;23
23/02/2018;24
27/02/2018;9
28/02/2018;7
01/03/2018;4
02/03/2018;19
05/03/2018;13
06/03/2018;8
07/03/2018;6
08/03/2018;2
09/03/2018;5
12/03/2018;8
13/03/2018;10
14/03/2018;7
15/03/2018;20
16/03/2018;10
20/03/2018;2
21/03/2018;7
22/03/2018;9
23/03/2018;10
26/03/2018;4
27/03/2018;16
28/03/2018;5
29/03/2018;5
02/04/2018;3
03/04/2018;2
04/04/2018;19
05/04/2018;5
06/04/2018;10
09/04/2018;6
10/04/2018;5
11/04/2018;6
12/04/2018;2
13/04/2018;2
16/04/2018;2
17/04/2018;5
18/04/2018;5
19/04/2018;17
20/04/2018;10
25/04/2018;3
26/04/2018;9
30/04/2018;35
02/05/2018;1
03/05/2018;2
04/05/2018;5
09/05/2018;15
10/05/2018;6
11/05/2018;3
14/05/2018;7
15/05/2018;5
16/05/2018;3
17/05/2018;5
18/05/2018;4
21/05/2018;1
22/05/2018;35
23/05/2018;2
24/05/2018;4
25/05/2018;4
28/05/2018;8
29/05/2018;6
01/06/2018;3
04/06/2018;6
05/06/2018;20
06/06/2018;13
07/06/2018;22
08/06/2018;8
11/06/2018;25
12/06/2018;5
13/06/2018;21
14/06/2018;2
15/06/2018;6
18/06/2018;9
19/06/2018;18
20/06/2018;10
21/06/2018;9
22/06/2018;17
25/06/2018;7
