Codigo Alfa,Codigo,Qtdnf,2017w01,2017w02,2017w03,2017w04,2017w05,2017w06,2017w07,2017w08,2017w09,2017w10,2017w12,2017w13,2017w14,2017w15,2017w16,2017w17,2017w18,2017w19,2017w20,2017w21,2017w22,2017w23,2017w24,2017w25,2017w26,2017w27,2017w28,2017w29,2017w30,2017w31,2017w32,2017w33,2017w34,2017w35,2017w36,2017w37,2017w38,2017w39,2017w40,2017w41,2017w42,2017w43,2017w44,2017w45,2017w46,2017w47,2017w48,2017w49,2017w50,2017w51,2017w52,2018w01,2018w02,2018w03,2018w04,2018w05,2018w06,2018w07,2018w08,2018w09,2018w10,2018w11,2018w12,2018w13,2018w14,2018w15,2018w16,2018w17,2018w18,2018w19,2018w20,2018w21,2018w22,2018w23,2018w24,2018w25,2018w26,2018w27,2018w28,2018w29,2018w30,2018w31,2018w32,2018w33,2018w34,2018w35,2018w36,2018w37,2018w38,2018w39,2018w40,2018w41,2018w42,2018w43,2018w44,2018w45,2018w46,2018w47,2018w48,2018w49,2018w50,2018w51,2018w52,2019w01,2019w02,2019w03,2019w04,2019w05,2019w06,2019w07,2019w08,2019w09,2019w10,2019w11,2019w12,2019w13,2019w14,2019w15,2019w16,2019w17,2019w18,2019w19,2019w20,2019w21,2019w22,2019w23,2019w24,2019w25,2019w26,2019w27,2019w28,2019w29,2019w30,2019w31,2019w32,2019w33,2019w34,2019w35,2019w36,2019w37,2019w38,2019w39,2019w40,2019w41,2019w42,2019w43,2019w44,2019w45,2019w46,2019w47,2019w48,2019w49,2019w50,2019w51,2019w52,2019w53,2020w01,2020w02,2020w03,2020w04
A9702623134,1,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,2,0,0,1,2,0,0,0,0,1,0,0,0,2,0,4,4,2,10,6,16,18,4,12,12,6,6,4,8,9,10,2,6,4,6,4,4,8,0,8,4,8,10,0,0,13,20,2,11,16,30,14,6,10,4,14,8,12,14,8,8,8,9,14,12,6,11,4,8,4,4,13,12,4,26,10,8,2,10,18,6,10,0,5,9,8,6,2,4,4,6,9,10,8,8,10,0,6,10,6,2
A9702623034,2,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,4,2,8,6,18,14,4,10,10,2,2,4,8,8,10,2,6,4,6,3,2,4,0,6,0,8,8,2,0,14,16,2,10,9,31,13,6,8,4,12,8,10,12,8,10,6,8,11,0,6,12,0,6,4,4,6,12,2,20,8,6,2,6,15,4,8,0,6,2,7,6,2,2,4,6,5,8,2,6,10,0,4,6,4,8
A9702623537,3,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,2,0,8,4,10,6,2,6,4,0,4,2,2,0,1,0,0,0,4,4,4,2,0,4,4,0,4,0,0,10,12,0,6,18,9,14,4,8,0,8,4,12,9,6,4,4,8,12,2,3,8,0,6,4,2,2,10,4,18,8,4,0,4,16,0,6,0,4,2,0,6,0,2,0,6,5,0,0,4,4,0,0,10,6,2
A9702623037,4,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,6,9,12,13,4,4,8,0,2,2,0,2,2,0,2,2,2,0,0,4,0,4,2,4,6,0,0,6,9,2,13,9,8,8,4,6,4,14,2,6,8,6,10,9,6,8,6,6,8,3,6,6,4,6,10,4,17,8,8,2,0,4,4,6,0,2,0,0,0,0,0,0,4,2,0,0,0,4,0,0,4,6,0
A9794770015,5,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,2,12,0,0,5,3,0,0,5,6,0,0,0,8,0,21,5,15,0,13,10,5,0,5,6,0,21,0,12,4,0,0,7,22,20,4,4,0,21,0,0,4,0,0,0,10,15,0,10,36,10,27,0,4,10,0,0,14,10,0,4,0,3,35,2,15,0,23,0,30,8,0,0,0,0,2,10,0,1,0,12,30,0,16,10,30,0,0,20,10,13,25,30,6,0,0,0,17,10,0
A9709810081,6,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,0,5,5,1,0,3,1,2,0,2,0,2,0,0,0,2,2,1,1,0,2,0,0,3,0,0,0,0,0,2,6,3,2,0,1,2,4,0,3,0,0,5,1,3,3,3,4,3,0,1,2,2,4,6,4,5,3,2,0,3,4,1,2,0,3,1,3,1,1,2,1,1,1,4,1,1,0,0,3,2,0,0
A9061800209,7,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,4,6,2,3,0,9,0,5,10,13,9,10,0,5,16,4,6,0,7,0,6,0,2,4,4,4,14,12,5,0,15,5,3,0,25,3,4,2,4,0,10,6,0,30,6,0,0,0,5,0,17,6,0,0,0,0,12,0,10,0,5,6,0,0,0,10,4,0,20,4,0,2,0,10,12,0,6,0,4,0,0,6,0,0,0,10,0,0,0,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
A0000901551,8,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,0,0,0,4,0,0,0,4,4,0,0,15,8,4,0,0,8,6,16,5,5,4,6,0,5,0,17,0,6,5,0,11,10,5,0,13,12,7,4,6,0,22,0,8,15,0,0,0,0,15,6,12,38,0,22,8,5,10,3,0,3,0,0,0,0,0,40,0,4,0,8,0,4,0,0,4,0,10,0,0,0,0,0,4,6,10,0,0,0,0,0,20,0,10,10,20,10,0,0,30,7,0,0
A9702610333,9,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,2,2,0,0,4,1,2,4,9,2,2,2,1,0,5,4,5,7,1,10,8,2,0,2,8,4,3,3,8,7,4,5,0,11,11,5,4,0,11,6,8,0,2,3,0,7,7,1,1,2,13,0,6,7,3,0,0,3,5,1
A6942620123,10,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,3,2,1,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,2,3,3,3,5,0,1,2,1,0,1,2,4,3,2,1,1,2,2,0,1,3,0,2,1,1,0,4,0,2,3,1,1,0,2,2,1,0,0,0,0,0,0,1,1,1,0,0,0,3,1,1,0,3,1,1
A9702602054,11,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,4,4,0,0,0,0,0,18,0,0,0,4,2,0,0,4,0,0,0,1,0,0,0,0,0,4,25,8,0,0,2,3,12,0,0,6,4,14,16,8,4,8,22,16,0,8,0,4,0,18,0,22,18,4,4,0,5,8,8,2,4,8,0,0,6,10,10,6,0,8,2,0,14,0,0,1,4,2
A9702605231,12,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,2,1,1,1,0,1,3,3,1,3,0,3,1,1,1,4,1,0,3,2,3,2,1,3,2,3,4,1,1,2,3,0,4,2,0,0,0,2,1,2,0,4,0,1,6,0,0,6,1,1
A9061800801,13,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,2,1,1,1,2,0,0,3,1,0,0,0,2,0,0,0,3,0,0,1,3,1,0,0,1,2,3,0,1,0,3,0,0,0,1,2,3,0,0,1,2,1,2,2,0,0,0,1,1,0,0,1,0,0,0,1,0,2,0,2,2,2,0,0,0,2,0,1,0,0,2,0,2,1,1,0,0,0,1,0,2,0,0,0,0,1
A9702623437,14,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,10,6,0,2,2,0,0,0,2,2,2,0,0,0,2,1,0,0,0,0,0,2,0,0,0,2,6,0,4,2,6,11,4,6,0,8,2,4,6,1,0,2,4,6,0,2,6,0,4,2,2,0,6,0,8,6,0,0,0,2,0,2,0,2,0,0,4,0,0,0,2,2,0,0,0,4,0,0,4,6,0
A9762622934,15,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,3,2,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,2,3,5,4,0,1,1,1,0,1,2,4,1,2,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,2,2,1,0,0,0,0,0,1,1,1,2,0,0,0,1,4,0,0,2,1,3
A9762623034,16,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,3,2,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,2,3,2,4,0,1,2,1,0,1,2,4,1,1,1,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,1,1,0,3,2,1,0,0,0,0,0,0,1,1,1,0,0,0,1,2,0,0,3,1,4
A9702604931,17,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2,0,2,2,1,1,1,1,5,0,0,3,1,3,0,1,2,1,1,2,1,1,1,3,1,1,2,0,0,0,0,1,1,0,4,0,0,6,0,0,2,1,0
A9042030574,18,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,3,1,0,0,0,3,0,1,0,0,0,0,0,2,0,6,0,0,0,5,1,10,1,1,0,3,0,3,3,0,2,0,1,0,9,0,0,0,0,0,0,0,1,2,0,0,0,0,0,4,0,0,0,2,6,3,2,2,1,0,3,0,0,0,0,1,2,3,0,0,4,4,4
A9049970282,19,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,2,4,0,0,1,0,0,0,0,0,0,0,1,3,1,0,2,0,6,0,2,2,5,0,2,11,1,4,2,0,5,1,5,0,0,4,0,0,4,2,2,0,7,4,3,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,4,0,6,0,0,0,3,0,0
A69342001200097,20,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,30,0,20,30,24,0,20,20,20,20,20,20,41,20,20,40,29,40,40,20,20,20,20,0,20,20,0,20,40,20,40,0,20,20,0,30,30,0,0,30,0,0,20,20,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
